linha_id,linha,sistema,subsistema,operador,fase,etapa,status,placemark,segmento,ordem_ponto,latitude,longitude,origem_aba,cidade,estacao_id,distrito
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Cerro Corá,,em construção,Linha 02- Verde - Extensão até Cerro Corá,1,1,-23.5407455952259,-46.7014971781742,dados,São Paulo,cerro_cora,kml_45
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Cerro Corá,,em construção,Linha 02- Verde - Extensão até Cerro Corá,1,2,-23.540774042649,-46.7011958400249,dados,São Paulo,cerro_cora,kml_45
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Cerro Corá,,em construção,Linha 02- Verde - Extensão até Cerro Corá,1,3,-23.5408090268194,-46.6999959600249,dados,São Paulo,cerro_cora,kml_45
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Cerro Corá,,em construção,Linha 02- Verde - Extensão até Cerro Corá,1,4,-23.5408390603922,-46.6993569600249,dados,São Paulo,cerro_cora,kml_45
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Cerro Corá,,em construção,Linha 02- Verde - Extensão até Cerro Corá,1,5,-23.5408760247801,-46.6990239600249,dados,São Paulo,cerro_cora,kml_45
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Cerro Corá,,em construção,Linha 02- Verde - Extensão até Cerro Corá,1,6,-23.5410270175961,-46.6983568800249,dados,São Paulo,cerro_cora,kml_11
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Cerro Corá,,em construção,Linha 02- Verde - Extensão até Cerro Corá,1,7,-23.541142036051,-46.6980548400249,dados,São Paulo,cerro_cora,kml_11
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Cerro Corá,,em construção,Linha 02- Verde - Extensão até Cerro Corá,1,8,-23.5413649768444,-46.6976080800249,dados,São Paulo,cerro_cora,kml_11
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Cerro Corá,,em construção,Linha 02- Verde - Extensão até Cerro Corá,1,9,-23.5429209313397,-46.69522596002491,dados,São Paulo,estacao_agregada_0132,kml_83
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Cerro Corá,,em construção,Linha 02- Verde - Extensão até Cerro Corá,1,10,-23.5433770375359,-46.6946438400249,dados,São Paulo,estacao_agregada_0132,kml_83
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Cerro Corá,,em construção,Linha 02- Verde - Extensão até Cerro Corá,1,11,-23.5447179541877,-46.6932988800249,dados,São Paulo,estacao_agregada_0132,kml_83
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Cerro Corá,,em construção,Linha 02- Verde - Extensão até Cerro Corá,1,12,-23.5463906987054,-46.6908548400249,dados,São Paulo,vila_madalena,kml_83
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,Linha 02 - Verde - Extensão para Penha,1,1,-23.5331784622007,-46.5428250000254,dados,São Paulo,penha,kml_34
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,Linha 02 - Verde - Extensão para Penha,1,2,-23.5336369125829,-46.54269648002541,dados,São Paulo,penha,kml_80
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,Linha 02 - Verde - Extensão para Penha,1,3,-23.5339425452836,-46.5426068400254,dados,São Paulo,penha,kml_80
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,Linha 02 - Verde - Extensão para Penha,1,4,-23.5342313444292,-46.54253772002539,dados,São Paulo,penha,kml_80
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,Linha 02 - Verde - Extensão para Penha,1,5,-23.543565321445,-46.5404979600254,dados,São Paulo,estacao_agregada_0133,kml_76
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,Linha 02 - Verde - Extensão para Penha,1,6,-23.5443984855544,-46.5404324400254,dados,São Paulo,estacao_agregada_0133,kml_76
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,Linha 02 - Verde - Extensão para Penha,1,7,-23.545090887282,-46.5405199200254,dados,São Paulo,estacao_agregada_0133,kml_76
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,Linha 02 - Verde - Extensão para Penha,1,8,-23.5458652970016,-46.5407719200254,dados,São Paulo,nova_manchester,kml_76
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,Linha 02 - Verde - Extensão para Penha,1,9,-23.5536593043991,-46.5449680800254,dados,São Paulo,guilherme_giorgi,kml_76
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,Linha 02 - Verde - Extensão para Penha,1,10,-23.5559942484924,-46.5460081200254,dados,São Paulo,guilherme_giorgi,kml_33
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,Linha 02 - Verde - Extensão para Penha,1,11,-23.5571782873936,-46.5463310400255,dados,São Paulo,guilherme_giorgi,kml_33
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,Linha 02 - Verde - Extensão para Penha,1,12,-23.5593161633877,-46.54679688002539,dados,São Paulo,estacao_agregada_0134,kml_33
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,Linha 02 - Verde - Extensão para Penha,1,13,-23.5603363322871,-46.5470780400254,dados,São Paulo,estacao_agregada_0134,kml_33
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,Linha 02 - Verde - Extensão para Penha,1,14,-23.5611292965281,-46.5474394800254,dados,São Paulo,estacao_agregada_0134,kml_33
linha_02_verde,Linha 02 - Verde,Sistema Metropolitano,Em andamento - Subsistema primário,Em andamento - Subsistema primário,Extensão até Penha,,em construção,Linha 02 - Verde - Extensão para Penha,1,15,-23.5617212941772,-46.5479866800255,dados,São Paulo,estacao_agregada_0134,kml_33
