estacao_id,nome_da_estacao,sistema,subsistema,operador,linha,fase,etapa,status,servico_expresso,latitude,longitude,origem_aba,cidade,distrito
pires_da_mota,Pires da Mota,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.56501324947519,-46.63180009194504,metropolitano,São Paulo,kml_5
cambuci,Cambuci,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,Não,-23.56409702627586,-46.62091559350338,metropolitano,São Paulo,kml_9
sao_carlos,São Carlos ● ◆,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,Extensão Sudeste,,em construção,Sim,-23.56860352242343,-46.60473974292809,metropolitano,São Paulo,kml_41
vila_monumento,Vila Monumento,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,Extensão Sudeste,,em construção,Não,-23.56735228215866,-46.61285217828991,metropolitano,São Paulo,kml_9
chacara_do_joquei,Chacara do Joquei,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,,em construção,Não,-23.60150535387402,-46.74380965147809,metropolitano,São Paulo,kml_14
taboao,Taboão,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,,em construção,Não,-23.6075354764747,-46.76058617820318,metropolitano,São Paulo,
boa_esperanca,Boa Esperança,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.59693503918332,-46.45655813298834,metropolitano,São Paulo,kml_16
jacu_pessego,Jacú Pêssego,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.5946668,-46.4447828,metropolitano,São Paulo,kml_16
erico_semer,Érico Semer,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.5942047,-46.4237328,metropolitano,São Paulo,kml_16
jardim_pedra_branca,Jardim Pedra Branca,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,Não,-23.5819846,-46.41526710000001,metropolitano,São Paulo,kml_2
