estacao_id,nome_da_estacao,sistema,subsistema,operador,linha,fase,etapa,status,servico_expresso,latitude,longitude,origem_aba,cidade,distrito
vila_mascote,Vila Mascote ●,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa Única,desconhecido,Não,-23.64592504870395,-46.67391176316971,dados,São Paulo,kml_53
jd_marajoara,Jd. Marajoara ●,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa Única,desconhecido,Não,-23.65429440729552,-46.67980761565466,dados,São Paulo,kml_53
yervant,Yervant ●,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa Única,desconhecido,Não,-23.66519004114427,-46.67822942672254,dados,São Paulo,kml_53
alto_de_interlagos,Alto de Interlagos ●,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa Única,desconhecido,Não,-23.67458582787692,-46.67835862302483,dados,São Paulo,kml_20
sabara,Sabará ●,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa Única,desconhecido,Não,-23.68376241463701,-46.68140800957833,dados,São Paulo,kml_20
pedreira,Pedreira ● ■,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa Única,desconhecido,Sim,-23.69702910733329,-46.67472751257363,dados,São Paulo,kml_69
martin_luther_king,Martin Luther King ●,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa I - Ramal de Nakamura,desconhecido,Não,-23.63937967903442,-46.67672754850743,dados,São Paulo,kml_74
visconde_de_porto_seguro,Visconde de Porto Seguro ●,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa I - Ramal de Nakamura,desconhecido,Não,-23.64322364449105,-46.68677953369412,dados,São Paulo,kml_74
chacara_da_flora,Chácara da Flora ●,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa I - Ramal de Nakamura,desconhecido,Não,-23.65435856482044,-46.69059715322625,dados,São Paulo,kml_20
belgica,Bélgica ●,Sistema Metropolitano,Propostas - Subsistema primário,Propostas - Subsistema primário,Linha CS1 - Paraíso/Anhangabaú Até Pedreira/Nakamura,Fase II - Trecho entgre Jd. Aeroporto- Pedreira + Ramais,Etapa I - Ramal de Nakamura,desconhecido,Não,-23.65864412087784,-46.6984511340623,dados,São Paulo,kml_20
