route_id,route_short_name,route_long_name,agency_id,sistema,subsistema,status,grupo_mode,lote_mode,empresa_mode,consorcio_operador,area_operacional_num_1a9,nome,area_operacional_hex_cor,cidade
675K-10,675K-10,Term. Jd. âNgela - Metrô Sta. Cruz,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E07,Metr¿pole,,,,,São Paulo
675K-23,675K-23,Vl. Remo - Moema,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E07,Metr¿pole,,,,,São Paulo
675L-10,675L-10,Term. Sto. Amaro - Metrô Sta. Cruz,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E07,Metr¿pole,,,,,São Paulo
675M-10,675M-10,Centro Sesc - Metrô Jabaquara,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR6,MobiBrasil,Mobibrasil,6.0,Área 6,#00BFD0,São Paulo
675N-10,675N-10,Term. Sto. Amaro - Metrô Ana Rosa,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E09,Gatusa,,,,,São Paulo
675P-10,675P-10,Shop. Sp Market - Metrô Conceição,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR6,MobiBrasil,Mobibrasil,6.0,Área 6,#00BFD0,São Paulo
675R-10,675R-10,Grajaú - Metrô Jabaquara,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E06,Graja¿,,,,,São Paulo
675X-10,675X-10,Term. Grajaú - Aacd-servidor,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E06,Graja¿,,,,,São Paulo
677A-10,677A-10,Term. Jd. âNgela - Itaim Bibi,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E07,Metr¿pole,,,,,São Paulo
677V-10,677V-10,Jd. Alpino - Est. Grajaú,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR6,MobiBrasil,Mobibrasil,6.0,Área 6,#00BFD0,São Paulo
677Y-10,677Y-10,Jd. Guarujá - Term. Capelinha,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
6801-10,6801-10,Jd. Ibirapuera - Term. João Dias,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
